Semester,Session,Batch,Roll No.,Assignment,Midterm,Ori Online Participation,Online Participation,Ori Group Project,Group Project,COURSEWORK,Alternative Assessment 01,Alternative Assessment 02,FINALS,TOTAL MARKS,GRADE
1,2017/2018,1,PDS001,8.0,14.7,10.0,10.0,14.0,14.0,46.7,,,33.6,80.3,A
1,2017/2018,1,PDS002,7.0,13.3,10.0,10.0,18.0,18.0,48.3,,,25.6,73.9,B+
1,2017/2018,1,PDS003,7.0,16.3,10.0,10.0,15.0,15.0,48.3,,,34.4,82.7,A
1,2017/2018,1,PDS004,7.0,14.7,10.0,10.0,15.0,15.0,46.7,,,36.8,83.5,A
1,2017/2018,1,PDS005,7.0,16.7,10.0,10.0,15.0,15.0,48.7,,,35.2,83.9,A
1,2017/2018,1,PDS006,10.0,16.0,10.0,10.0,15.0,15.0,51.0,,,32.8,83.8,A
1,2017/2018,1,PDS007,8.0,15.3,10.0,10.0,15.0,15.0,48.3,,,29.6,77.9,A-
1,2017/2018,1,PDS008,9.0,18.0,10.0,10.0,16.0,16.0,53.0,,,35.2,88.2,A
1,2017/2018,1,PDS009,8.0,17.7,10.0,10.0,13.0,13.0,48.7,,,33.6,82.3,A
1,2017/2018,1,PDS010,7.0,16.3,10.0,10.0,15.0,15.0,48.3,,,30.0,78.3,A-
1,2017/2018,1,PDS011,6.0,10.7,10.0,10.0,13.0,13.0,39.7,,,25.6,65.3,B
1,2017/2018,1,PDS012,10.0,18.3,10.0,10.0,14.0,14.0,52.3,,,37.6,89.9,A
1,2017/2018,1,PDS013,9.0,13.7,10.0,10.0,18.0,18.0,50.7,,,29.2,79.9,A-
1,2017/2018,1,PDS014,9.0,11.7,10.0,10.0,18.0,18.0,48.7,,,26.8,75.5,A-
1,2017/2018,1,PDS015,7.0,17.3,10.0,10.0,16.0,16.0,50.3,,,27.2,77.5,A-
1,2017/2018,1,PDS016,8.0,19.3,10.0,10.0,16.0,16.0,53.3,,,31.6,84.9,A
1,2017/2018,1,PDS017,7.0,19.0,10.0,10.0,14.0,14.0,50.0,,,33.2,83.2,A
1,2017/2018,1,PDS018,10.0,16.3,10.0,10.0,13.0,13.0,49.3,,,24.0,73.3,B+
1,2017/2018,1,PDS019,10.0,18.3,10.0,10.0,15.0,15.0,53.3,,,29.2,82.5,A
1,2017/2018,1,PDS020,8.0,7.7,10.0,10.0,18.0,18.0,43.7,,,21.6,65.3,B
1,2017/2018,1,PDS021,7.0,15.7,10.0,10.0,14.0,14.0,46.7,,,18.4,65.1,B
1,2017/2018,1,PDS022,10.0,18.3,10.0,10.0,15.0,15.0,53.3,,,28.0,81.3,A
1,2017/2018,1,PDS023,10.0,9.7,10.0,10.0,13.0,13.0,42.7,,,24.4,67.1,B
1,2017/2018,1,PDS024,7.0,15.7,10.0,10.0,13.0,13.0,45.7,,,22.4,68.1,B
1,2017/2018,1,PDS025,10.0,13.7,10.0,10.0,13.0,13.0,46.7,,,27.2,73.9,B+
1,2017/2018,1,PDS026,9.0,16.3,10.0,10.0,15.0,15.0,50.3,,,28.8,79.1,A-
1,2017/2018,1,PDS027,9.0,14.3,10.0,10.0,18.0,18.0,51.3,,,13.2,64.5,B-
1,2017/2018,1,PDS028,9.0,16.7,10.0,10.0,14.0,14.0,49.7,,,29.2,78.9,A-
1,2017/2018,1,PDS029,8.0,17.0,10.0,10.0,14.0,14.0,49.0,,,27.2,76.2,A-
1,2017/2018,1,PDS030,7.0,17.0,8.0,8.0,18.0,18.0,50.0,,,22.8,72.8,B+
1,2017/2018,1,PDS031,9.0,13.0,10.0,10.0,15.0,15.0,47.0,,,12.8,59.8,C+
1,2017/2018,1,PDS032,8.0,18.0,10.0,10.0,17.0,17.0,53.0,,,28.4,81.4,A
1,2017/2018,1,PDS033,10.0,18.3,10.0,10.0,17.0,17.0,55.3,,,24.8,80.1,A
1,2017/2018,1,PDS034,10.0,0.0,5.0,5.0,0.0,0.0,15.0,,,0.0,15.0,F
1,2017/2018,1,PDS035,10.0,18.7,10.0,10.0,18.0,18.0,56.7,,,35.6,92.3,A+
1,2017/2018,1,PDS036,9.0,18.7,10.0,10.0,18.0,18.0,55.7,,,26.4,82.1,A
1,2017/2018,1,PDS037,8.0,15.0,10.0,10.0,18.0,18.0,51.0,,,30.4,81.4,A
1,2017/2018,1,PDS038,10.0,17.0,10.0,10.0,18.0,18.0,55.0,,,26.4,81.4,A
2,2017/2018,2,PDS039,9.0,15.2,10.0,10.0,18.3,18.3,52.5,,,29.0,81.5,A
2,2017/2018,2,PDS040,8.0,16.8,7.5,7.5,18.3,18.3,50.6,,,35.0,85.6,A
2,2017/2018,2,PDS041,8.0,16.8,8.75,8.75,18.3,18.3,51.8,,,35.0,86.8,A
2,2017/2018,2,PDS042,10.0,14.6,10.0,10.0,18.0,18.0,52.6,,,27.0,79.6,A-
2,2017/2018,2,PDS043,8.0,15.6,8.75,8.75,18.0,18.0,50.4,,,31.0,81.4,A
2,2017/2018,2,PDS044,10.0,16.0,8.75,8.75,16.0,16.0,50.8,,,29.0,79.8,A-
2,2017/2018,2,PDS045,9.0,17.2,8.75,8.75,12.7,12.7,47.6,,,35.0,82.6,A
2,2017/2018,2,PDS046,9.0,16.8,8.75,8.75,12.7,12.7,47.2,,,33.0,80.2,A
2,2017/2018,2,PDS047,10.0,17.2,8.75,8.75,18.0,18.0,54.0,,,36.0,90.0,A+
2,2017/2018,2,PDS048,8.0,17.2,8.75,8.75,12.3,12.3,46.2,,,29.0,75.2,A-
2,2017/2018,2,PDS049,8.0,13.2,8.75,8.75,12.3,12.3,42.2,,,28.0,70.2,B+
2,2017/2018,2,PDS050,8.0,16.8,8.75,8.75,12.3,12.3,45.8,,,35.0,80.8,A
2,2017/2018,2,PDS051,8.0,14.0,8.75,8.75,16.0,16.0,46.8,,,33.0,79.8,A-
2,2017/2018,2,PDS052,8.5,11.6,8.75,8.75,18.0,18.0,46.8,,,33.0,79.8,A-
