Semester,Session,Batch,Matric No.,Feedback,Feedback 2,Score,Sentiment,Rating
1,2020/2021,7,17218788,"Thank you for the second chance!
Hi Dr, i think you remember me well, due to culture shock of the pandemic arise last semester has made me down and bad at adapting the new surrounding.

I would like to thank you for giving me this second chance and keep sending me good vibes and hope for this semester.

Thank you for the ilmu you share <3 Stay healthy and take care !",thank second chance think remember well due culture shock pandemic arise last made bad adapting new surrounding like thank giving second chance keep sending good vibe hope thank ilmu share <3 stay healthy care,0.9756,Positive,4.95
1,2020/2021,7,S2000128,"A Wonderful Experience for Starter.
Good Day Dr. Salimah,

First of all, I would like to thank you for a wonderful semester even it's fully online. Frankly speaking, I never would imagined that I would be taking my Master in such conditions as I am the person who like to social around in the campus, ""lepak dgn member-member"". It was very tough at start as the briefing of postgraduate is cancelled and we received limited support from university on how to access Spectrum, teams using siswamail, as well as subject registration. Online class did provide more convenience and ßexibility, however, it also make us easier to procrastinate especially when I am busy on my work.

I really appreciated your caring disposition and teaching style. The various interactive quizzes such as Kahoot you introduced in this course is very interesting as it refresh and strengthen our knowledge based on previous lecture. Through this course, I learnt about basic of data science process and programming in R especially the storytelling part will definitely help me to create a more insightful dashboard for my work.

I am really sorry Dr for being procrastinate for you class (still haven submit few tutorial and soft kills 😞 ) even you always remind us ""Do Not Procrastinate!, do your work as early as possible"". Thank you for your care in looking at each student’s grade individually and your generosity. I apologize and promise I will improve myself by having better time management. I hope I still sempat to catch up if I done all those by today.

Thank you so much for your time and patience. I am usually very very anxious about approaching professors, but you make things very simple, we can just ask anything in the WhatsApp group and you even reply us in no time.

Time flies, we are on our lockdown then suddenly 2021 and now this semester had came to an end. I hope that soon this
 
pandemic of Covid-19 can be ended as we shall meet one day in the campus. Lastly, a special thanks to my groupmates, Naim, Kent and Kam Yin who have been helping me along this course. Hope all of us will get a good grade!

Once again, a big thank you to Dr. Nice to meet you!
Take care and stay healthy.",wonderful experience starter good day first like thank wonderful even fully online frankly speaking never imagined taking master condition person like social around campus lepak dgn member-member tough start briefing postgraduate cancelled received limited support university access spectrum team using siswamail well subject registration online provide convenience ßexibility however make easier procrastinate especially busy work really appreciated caring disposition teaching style various interactive kahoot introduced interesting refresh strengthen knowledge based previous lecture learnt basic process programming especially storytelling part definitely help create insightful dashboard work really sorry procrastinate (still submit tutorial soft kill 😞 even always remind procrastinate work early possible thank care looking student’s grade individually generosity apologize promise improve better time management hope still sempat catch done today thank much time patience usually anxious approaching professor make thing simple ask anything whatsapp group even reply time time fly lockdown suddenly 2021 came end hope soon pandemic covid-19 ended shall meet day campus lastly special thanks groupmates naim kent kam yin helping along hope get good grade big thank nice meet care stay healthy,0.9975,Positive,5.0
1,2020/2021,7,S2018106,"Thank you for the teaching Dr. Salimah.

I would like to express my gratitude to you for working hard to enlighten us about areas in the data science covered through this course. I am very new to this and I have always enjoyed your lectures plus the slides are very well-informed and complete. I think me as a part-time student here, sometimes I have been struggling as well to cope with this program and I know I have so much to improve on and not just on my knowledge but other areas as well.It is gonna take some time, but being in this course is a stepping stone for me to get to know more about the data world and thanks to you for being one of my gurus in this data science journey of mine.

Also, for all of my course mates including Dr. Salimah, please take care of your physical and mental health in this trying times. It is the most important after all. Health is always no #1 priority to me. I hope everyone is living and eating well. All the best.",thank teaching like express gratitude working hard enlighten area covered new always enjoyed lecture plus slide well-informed complete think part-time student sometimes struggling well cope program know much improve knowledge area well gonna time stepping stone get know world thanks guru journey mine mate including please care physical mental health trying time important health always #1 priority hope everyone living eating well best,0.9874,Positive,4.97
1,2020/2021,7,S2000949,"Great Start to the Data Science Journey.
Hello Dr Salimah,

First of all I would like to thank you for your time and especially your effort into making the teaching and learning of this very important introductory course a success. The course itself provides me with a great introduction towards the world of Data Science, and especially the principles behind it. As someone who is relatively new to the industry, the course really taught me a great deal about Data Science. Throughout the learning course, I do enjoy the quizzes as that really helped me keep up with the pace of the course and evaluate myself among other students.

However, as mentioned in other posts, I do feel it would be very beneficial to have designated small groups among us so that we can discuss the tutorials and problems together. All in all, everything else was great.

Lastly, I wish that you and my classmates are always in good health in this challenging times. When the pandemic is over and I can finally set foot in UM, I hope to meet you in person to thank you.",great start journey hello first like thank time especially effort making teaching learning important introductory success provides great introduction towards world especially principle behind someone relatively new industry really taught great deal throughout learning enjoy really helped keep pace evaluate among student however mentioned post feel beneficial designated small group among discus tutorial problem together everything else great lastly wish classmate always good health challenging time pandemic finally set foot hope meet person thank,0.9911,Positive,4.98
1,2020/2021,7,S2016012,"Wonderful Starter for Data Science.
 
Dear Dr Salimah,

Thank you for the teaching and guidance along the way. It has been a wonderful journey where lots of new yet basic knoweldge are learned during the course. Despite of the pandemic and online learning's circumstances, it is quite memorable as this course allows me to explore more on Data science and built the foundation for further learning as a non- data science background student.

Many thanks for the efforts you have put in for teaching this course. Lots of meaningful tutorials and homework are given and they help me to solidify my knowledge regarding DS.

Once again thank you so much Dr Salimah! ",wonderful starter thank teaching guidance along way wonderful journey lot new yet basic knoweldge learned despite pandemic online learning's circumstance quite memorable allows explore built foundation learning non- background student many thanks effort put teaching lot meaningful tutorial homework given help solidify knowledge regarding thank much,0.9601,Positive,4.92
1,2020/2021,7,17053409,"Good Learning Experience.
Dear Dr Salimah,
Firstly, I would like to express my greatest appreciation for the great learning experience and your dedication in conducting lectures. You introduced us to lots of new things, example Padlet, ShinyApp, RPubs, Github as well as the Quiz Apps. I find the weekly lectures are well organized especially the contents of the slides and the clear communication. Your availability to answer queries and doubts in the 'whatsapp group' is very much appreciated as we are able to communicate with you without any issue. In fact this whole arrangement facilitates the online learning process efficiently. I do like the weekly quiz part as it reinforces the learning process. I also like your constant reminders on procrastination and how I realized that it is not only applicable for submission of tutorials/projects but also for all aspects of our life, example, if one needs to workout for a better health, do not procrastinate. I fact, this word now appears very strongly in mind and I think it will always remind me of you. Lastly, I would like to wish you good health, lots of happiness in life and THANK YOU so much Dr Salimah",good learning experience firstly like express greatest appreciation great learning experience dedication conducting lecture introduced lot new thing example padlet shinyapp rpubs github well apps find weekly lecture well organized especially content slide clear communication availability answer query doubt 'whatsapp group' much appreciated able communicate without issue fact whole arrangement facilitates online learning process efficiently like weekly part reinforces learning process like constant reminder procrastination realized applicable submission tutorial project aspect life example need workout better health procrastinate fact word appears strongly mind think always remind lastly like wish good health lot happiness life thank much,0.9935,Positive,4.99
1,2020/2021,7,17220137,"I Can't Thank You Enough Dr!!!!

My words can't thank you enough Dr. I salute your efforts from the beginning to the end, i wasn't that into this course at first but your passion to make us better was inspiring. I gained first hand experience as a Data Scientist via your classes, i am so grateful and i pray that God bless with more Wisdom and keep you safe. Thank you!!!!!",can't thank enough word can't thank enough salute effort beginning end first passion make better inspiring gained first hand experience scientist grateful pray god bless wisdom keep safe thank,0.9741,Positive,4.95
1,2020/2021,7,S2001210,"Dear Dr Salimah, I would like to thank you for your teaching this semester. I have learnt a lot from this course and it provide me with a solid understanding of data science.
Additionally, your lecture notes are very helpful as well and the weekly quiz helped me a lot for my understanding in each chapter. My suggestion for further improvement is to create a group work from the beginning of the semester so that each of us have learning support and still able to work collaboratively like in a traditional classroom setting. Like having tutorials with 4 group members where each contributes and discuss on answers, this would definitely help with the learning experience. Overall, learning experience has been great and thank you again Dr Salimah and to all my classmates",like thank teaching learnt lot provide solid understanding additionally lecture note helpful well weekly helped lot understanding chapter suggestion improvement create group work beginning learning support still able work collaboratively like traditional classroom setting like tutorial 4 group member contributes discus answer definitely help learning experience overall learning experience great thank classmate,0.9853,Positive,4.97
1,2020/2021,7,S2016053,"Appreciate the Lesson.
To Assoc. Prof. Dr Salimah Mokhtar,

If I had not had you as my lecturer for this course, I might be getting wrong in finding the comprehensive course of data science knowledge. For the reason purposely, I enrolling this programme is, I’m looking for the structured data science programme. Lucky on me, got you as my first semester’s lecturer for Principles of Data Science course. The materials, tutorials, assignments and assessments that you provided for us are more than complete.

What can I say, you’re the very most interactive and insightful educator and has strong desire to care deeply about the students and work hard to make sure no one is left behind. Still remember when you were attacked by vertigo, all of us did pray for your health condition. At that time, we don’t want to get any replacement lecturer if the faculty offer. Just pray to make sure your speedy recovery and continue to teach us. You did come back and teach us as usual. Appreciate your struggle.

As a lecturer as well, your encouragement and persistence for my learning process in this semester has taught me that I’m not a good educator. I’m capable, but it will take hard work and lots dedication to be like you. I earnestly feel that without your dedicated and strict mode while you teach us, I would not be able to follow the learning track. 

I wish you good luck for your sabbatical leave and good luck as well for your future undertakings.

Stay safe and health Dr.",appreciate lesson assoc mokhtar lecturer might getting wrong finding comprehensive knowledge reason purposely enrolling programme i’m looking structured programme lucky got first semester’s lecturer principle material tutorial assignment assessment provided complete say you’re interactive insightful educator strong desire care deeply student work hard make sure left behind still remember attacked vertigo pray health condition time don’t want get replacement lecturer faculty offer pray make sure speedy recovery continue teach come back teach usual appreciate struggle lecturer well encouragement persistence learning process taught i’m good educator i’m capable hard work lot dedication like earnestly feel without dedicated strict mode teach able follow learning track wish good luck sabbatical leave good luck well future undertaking stay safe health,0.9917,Positive,4.98
1,2020/2021,7,S2000053,"Principles of Data Science is the pillar of Msc of Data Science. Thank you for the lesson, Dr. Salimah!
A comprehensive introductory course to data science taught by Dr. Salimah. One could not ask for more comprehensive materials for everything is thoroughly prepared by Dr. From eye-catching slides full of information, to textbook, journal, article and to programming guide; this is the preparation made from years of teaching, and accumulated experiences in dealing with all sorts of student hence everything is well thought of, leaving no room for us to feel like incompleteness. I am amazed at Dr. effort in every class, trying every method there is to engage our attention and making the class more interactive. Dr. could have opted to have it easy, with just slides, presentation and exams but Dr. goes all out in ensuring that this class laid the foundation well for students before they moving on to other subject. I'm sure it will be much more fun to attend Dr.'s class in person, face-to-face for there will be less distraction compared to online class. For part-time student, one might felt overwhelmed by the number of things or submission required for this class but I truly appreciate how Dr. break down each submission in smaller task so that it is achievable to complete it with ease without spending too much time as long as you refer to given material and paid attention in Dr.'s class. I can foresee that along the journey for this postgraduate study, I will always come back to lessons taught by Dr. and materials provided in this class as reference. Thank you Dr. for the class and for putting up with our antics. Thank you for everything!",principle pillar msc thank lesson comprehensive introductory taught ask comprehensive material everything thoroughly prepared eye-catching slide full information textbook journal article programming guide preparation made year teaching accumulated experience dealing sort student hence everything well thought leaving room feel like incompleteness amazed effort every trying every method engage attention making interactive opted easy slide presentation exam go ensuring laid foundation well student moving subject i'm sure much fun attend 's person face-to-face le distraction compared online part-time student might felt overwhelmed number thing submission required truly appreciate break submission smaller task achievable complete ease without spending much time long refer given material paid attention 's foresee along journey postgraduate study always come back lesson taught material provided reference thank putting antic thank everything,0.9898,Positive,4.98
